Timestamp,Name,Which courses would you be interested in being a TA or grader for in Fall 2019?  (Select all that apply),,,,,,
4/20/2019 17:42:14,Student 21,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/25/2019 17:37:10,Student 22,21-127: Concepts of Mathematics (TA or Grader),,,,,,
4/7/19 15:51,Student 23,"21-127: Concepts of Mathematics, 21-242: Matrix Theory",,,,,,
4/7/2019 18:08:05,Student 24,"21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/7/2019 16:16:02,Student 25,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA)",,,,,,
4/9/2019 18:00:39,Student 26,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-259: Calculus in Three Dimensions (TA), 21-268: Multidimensional Calculus (TA or Grader), 21-373: Algebraic Structures (Grader)",,,,,,
4/20/2019 19:17:41,Student 27,"21-228: Discrete Mathematics (TA or Grader), 21-235: Mathematical Studies Analysis I (TA)",,,,,,
4/7/2019 15:46:30,Student 28,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-268: Multidimensional Calculus (TA or Grader), 21-301: Combinatorics (Grader), 21-325: Probability (Grader), 21-341: Linear Algebra (Grader), 21-355: Principles of Real Analysis I (Grader), 21-370: Discrete Time Finance (Grader), 21-373: Algebraic Structures (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/24/2019 13:13:20,Student 29,21-127: Concepts of Mathematics (TA or Grader),,,,,,
4/7/2019 15:39:28,Student 30,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA)",,,,,,
4/8/2019 9:06:35,Student 31,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/16/2019 16:48:29,Student 32,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA)",,,,,,
4/8/2019 20:21:27,Student 33,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-259: Calculus in Three Dimensions (TA), 21-355: Principles of Real Analysis I (Grader)",,,,,,
4/9/2019 17:56:05,Student 34,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA)",,,,,,
4/7/2019 21:57:06,Student 35,"21-370: Discrete Time Finance (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/7/2019 16:42:43,Student 36,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA), 21-325: Probability (Grader)",,,,,,
4/26/2019 22:35:24,Student 37,"21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/7/2019 15:49:28,Student 38,"21-127: Concepts of Mathematics (TA or Grader), 21-235: Mathematical Studies Analysis I (TA), 21-237: Mathematical Studies Algebra I (TA), 21-242: Matrix Theory (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA)",,,,,,
4/15/2019 10:51:23,Student 39,21-127: Concepts of Mathematics (TA or Grader),,,,,,
4/22/2019 10:39:59,Student 40,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-127: Concepts of Mathematics (TA or Grader)",,,,,,
4/7/2019 18:23:31,Student 41,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/21/2019 22:00:47,Student 42,"21-235: Mathematical Studies Analysis I (TA), 21-237: Mathematical Studies Algebra I (TA)",,,,,,
4/7/2019 15:45:47,Student 43,21-127: Concepts of Mathematics (TA or Grader),,,,,,
4/24/2019 16:28:01,Student 44,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/7/2019 16:14:40,Student 45,"21-370: Discrete Time Finance (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/7/2019 18:42:45,Student 46,"21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA)",,,,,,
4/20/2019 18:15:20,Student 47,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-242: Matrix Theory (TA), 21-301: Combinatorics (Grader), 21-325: Probability (Grader), 21-373: Algebraic Structures (Grader)",,,,,,
4/7/19 16:04,Student 48,"21-111: Calculus I, 21-112: Calculus II, 21-120: Differential and Integral Calculus",,,,,,
4/7/19 16:31,Student 49,"21-111: Calculus I, 21-112: Calculus II, 21-120: Differential and Integral Calculus, 21-122: Integration and Approximation, 21-127: Concepts of Mathematics, 21-241: Matrices and Linear Transformations, 21-260: Differential Equations, 21-261 Introduction to Ordinary Differential Equations, 21-270 Introduction to Mathematical Finance",,,,,,
4/20/2019 19:12:52,Student 50,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-242: Matrix Theory (TA)",,,,,,
4/23/2019 21:20:51,Student 51,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/21/2019 0:10:08,Student 52,"21-127: Concepts of Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA)",,,,,,
4/16/2019 21:35:16,Student 53,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/7/2019 16:05:28,Student 54,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA)",,,,,,
